Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,165.750046,169.875046,164.662537,168.900040,166.094604,2945769
2016-11-23,168.900040,169.443787,165.787537,168.337540,165.541443,3378401
2016-11-24,168.168793,170.587540,167.475037,169.031296,166.223694,3687100
2016-11-25,169.875046,175.125046,169.125046,174.281296,171.386490,3411295
2016-11-28,175.500046,175.500046,170.850037,172.725037,169.856079,3067759
2016-11-29,173.025040,174.937546,172.687546,174.431290,171.533981,1666836
2016-11-30,174.375046,176.606293,173.250046,174.468796,171.570862,5793854
2016-12-01,176.137543,176.606293,174.093796,175.612549,172.695618,1651063
2016-12-02,176.437546,176.625046,171.937546,172.650040,169.782333,2020634
2016-12-05,172.500046,172.500046,169.893799,171.243790,168.399429,1588058
2016-12-06,171.000046,173.568787,170.962540,171.675049,168.823547,1678892
2016-12-07,171.900040,172.406296,169.500046,170.006287,167.182495,1572455
2016-12-08,170.625046,172.293793,170.287537,171.975037,169.118530,2798215
2016-12-09,171.787537,172.950043,171.187546,171.787537,168.934158,2715135
2016-12-12,170.625046,170.962540,169.312546,170.081299,167.256256,1915666
2016-12-13,171.187546,174.018799,170.643799,173.906296,171.017731,3134524
2016-12-14,174.056290,175.631287,173.718796,174.862549,171.958084,2753953
2016-12-15,172.725037,176.962540,172.725037,174.787537,171.884323,2755655
2016-12-16,174.862549,176.306290,172.481293,173.812546,170.925537,4409425
2016-12-19,173.531296,174.937546,173.418793,173.831299,170.943954,2072276
2016-12-20,175.087540,176.212540,173.118790,174.993790,172.087143,2167156
2016-12-21,175.687546,176.437546,172.950043,173.418793,170.538315,2743311
2016-12-22,173.475037,174.825043,172.237549,173.137543,170.261734,2156308
2016-12-23,174.243790,174.375046,170.775040,172.031296,169.173874,1792562
2016-12-26,171.900040,172.687546,169.987549,171.037537,168.196609,1658404
2016-12-27,170.625046,174.750046,170.287537,174.450043,171.552429,1476060
2016-12-28,174.750046,178.293793,174.393799,176.006287,173.082840,3176983
2016-12-29,175.875046,178.875046,174.018799,177.131287,174.189133,5453945
2016-12-30,177.618790,178.687546,176.643799,177.918793,174.963562,1389815
2017-01-02,178.143799,179.400040,176.437546,176.831299,173.894135,1230474
2017-01-03,177.375046,177.787537,174.637543,175.125046,172.216217,1843468
2017-01-04,175.125046,179.100037,174.787537,178.350037,175.387650,3025319
2017-01-05,178.912537,182.212540,178.912537,180.150040,177.157745,2608498
2017-01-06,179.437546,180.037552,175.875046,176.231293,173.304092,4190860
2017-01-09,175.875046,177.918793,173.175049,177.000046,174.060074,1961124
2017-01-10,177.225037,179.568787,176.718796,178.687546,175.719543,1764191
2017-01-11,179.212540,180.562546,178.125046,178.575043,175.608917,2253514
2017-01-12,178.500046,181.593796,177.843796,181.200043,178.190308,1870738
2017-01-13,181.912552,182.418793,180.131302,181.743790,178.725021,2161394
2017-01-16,181.087540,182.887543,179.925049,181.781296,178.761917,1613666
2017-01-17,182.006302,182.887543,180.187546,180.900040,177.895279,1474471
2017-01-18,180.900040,182.625046,180.000046,181.106293,178.098099,1431810
2017-01-19,181.275040,181.668793,178.218796,179.625046,176.641479,2392639
2017-01-20,178.706299,179.925049,178.125046,179.212540,176.235825,2038610
2017-01-23,177.206299,181.612549,176.906296,179.906296,176.918045,3054236
2017-01-24,180.993790,181.125046,178.500046,180.562546,177.563400,1960583
2017-01-25,180.750046,181.500046,176.700043,177.637543,174.686981,5453254
2017-01-27,176.062546,177.637543,174.112549,174.581299,171.681519,5136078
2017-01-30,174.000046,175.500046,171.562546,174.656296,171.755264,4926966
2017-01-31,174.675049,174.675049,167.006287,171.750046,168.897278,7314203
2017-02-01,172.875046,172.875046,168.750046,171.000046,168.159744,4375377
2017-02-02,171.000046,171.731293,167.287537,170.868790,168.770889,4085865
2017-02-03,171.000046,172.350037,170.287537,171.656296,169.548721,2341226
2017-02-06,171.993790,173.550049,170.437546,172.912537,170.789536,3299759
2017-02-07,173.250046,173.250046,170.831299,171.956299,169.845032,2229884
2017-02-08,171.881287,174.431290,171.412537,172.687546,170.567307,3503852
2017-02-09,171.862549,175.068787,171.506287,174.750046,172.604477,2637068
2017-02-10,175.256287,177.075043,174.150040,175.968796,173.808258,2046724
2017-02-13,175.500046,178.500046,175.218796,177.918793,175.734329,2261735
2017-02-14,178.931290,179.137543,177.075043,178.762543,176.567719,2309530
2017-02-15,178.706299,179.737549,175.725037,178.012543,175.826935,2820244
2017-02-16,177.375046,180.712540,177.375046,180.300049,178.086349,2833505
2017-02-17,180.750046,181.368790,177.768799,178.256287,176.067673,2105346
